ID_ENTIDAD;GUID_ENTIDAD;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL
518;A9539708-B1BE-4ADC-A089-1465B6DEE207;30615632089;EMPRESA ESTATAL 32089 CORP. S.A.C.;EMPRESA ESTATAL 32089 CORP.
519;AEBADCB5-F7B0-4892-B681-FCB7AF18AE92;11702198722;CONSORCIO NACIONAL 98722 S.A;CONSORCIO NACIONAL 98722
520;1E2C87D4-349E-4701-B8E7-EF9E504097A6;13702198419;INDUSTRIA PUBLICA 98419 COOPERATIVA;INDUSTRIA PUBLICA 98419
521;39F9084B-EF3F-4D82-BB31-6AF73F2F99DF;15702201139;COMERCIO NO GUBERNAMENTAL 01139 SERVICIOS GENERALES S.A.C.;COMERCIO NO GUBERNAMENTAL 01139 SERVICIOS GENERALES
522;8A08D331-D459-4821-AE23-F2CC93F34BA0;32937389782;EMPRESA ESTATAL 89782 E.I.R.L.;EMPRESA ESTATAL 89782
523;1DFB34DD-8779-4EE3-88EF-C98E427BCD7A;14702207337;CORPORACION PARTICULAR 07337 S.C.R.L;CORPORACION PARTICULAR 07337
524;71EEA938-8DAB-4C2A-B9CE-7534131CC898;12702350166;SOLUCIONES EMPRESARIALES OTRO 50166 SRL;SOLUCIONES EMPRESARIALES OTRO 50166
525;C4157D64-2399-4FF6-B102-4333EC8B2947;11702349794;ALMACENES MUNICIPAL 49794 CORP. S.A.C.;ALMACENES MUNICIPAL 49794 CORP.
526;3988CAAB-060A-4AE1-B07A-DC91EA49ADDB;13702353225;SERVICIOS INTEGRALES INTERNACIONAL 53225 S.A;SERVICIOS INTEGRALES INTERNACIONAL 53225
527;15A1803B-9547-47AC-971B-E7AA43330B3D;14702366811;INVERSIONES REGIONAL 66811 COOP.;INVERSIONES REGIONAL 66811
528;3126863E-B108-431D-83A0-6929175FF1C9;16704419692;ALMACENES MUNICIPAL 19692 S.S;ALMACENES MUNICIPAL 19692
529;E65CAD25-C51A-4538-AE70-D810EA0787EA;11704420620;CONSORCIO NACIONAL 20620 E.I.R.L.;CONSORCIO NACIONAL 20620
530;0EA5EB8D-E158-4079-A66A-11731A18E1E0;13704423047;INDUSTRIA PUBLICA 23047 S.C.R.L.;INDUSTRIA PUBLICA 23047
531;5B7935BD-04D7-40F0-9AAB-7C0460EDE928;15704422893;COMERCIO NO GUBERNAMENTAL 22893 S.R.L.;COMERCIO NO GUBERNAMENTAL 22893
532;31162274-F137-48D3-8DD6-D4A415D56E10;17704430961;INVERSIONES REGIONAL 30961 S.A.C.;INVERSIONES REGIONAL 30961
533;940ED4A3-5596-4481-96AA-714D9B18FBA5;198125211;EMPRESA ESTATAL 25211 ASOCIACION CIVIL;EMPRESA ESTATAL 25211
534;85475197-5A37-4493-959B-2EF29D108899;10704551877;UNIVERSIDAD PRIVADA 51877 CONSORCIO S.A.C.;UNIVERSIDAD PRIVADA 51877 CONSORCIO
535;5AEE21CA-1188-4DF4-B7F7-6C30D29CF7CE;12704564715;CORPORACION PARTICULAR 64715 COOPERATIVA;CORPORACION PARTICULAR 64715
536;FFB820F9-0957-4549-810B-032C1A99B4B4;13704577644;SERVICIOS INTEGRALES INTERNACIONAL 77644 S.A.A.;SERVICIOS INTEGRALES INTERNACIONAL 77644
